anio,mes,sentido,total_veh_pagan,total_veh_exon,total_veh_eva
"2019","1","1","5657","45","0"
"2019","1","0","2009","8","0"
"2019","1","0","3249","12","0"
"2019","1","1","3431","16","0"
"2019","1","0","4134","17","0"
"2019","1","1","4358","16","0"
"2019","1","0","1002","7","0"
"2019","1","1","993","3","0"
"2019","1","1","481","4","0"
"2019","1","0","266","4","0"
"2019","1","1","344","4","0"
"2019","1","0","576","7","0"
"2019","1","1","631","7","0"
"2019","1","0","658","5","0"
"2019","1","1","661","4","0"
"2019","1","2","848","0","0"
"2019","1","0","475","0","0"
"2019","1","1","373","0","0"
"2019","1","2","857","6","0"
"2019","1","0","445","1","0"
"2019","1","1","412","5","0"
"2019","1","2","372","9","0"
"2019","1","0","202","4","0"
"2019","1","1","170","5","0"
"2019","1","2","1561","5","0"
"2019","1","0","847","3","0"
"2019","1","1","714","2","0"
"2019","1","0","281","1","0"
"2019","1","1","251","2","0"
"2019","1","0","796","8","0"
"2019","1","1","730","9","0"
"2019","1","0","309","17","0"
"2019","1","1","270","18","0"
"2019","1","0","3861","23","0"
"2019","1","1","3770","21","0"
"2019","1","0","758","3","0"
"2019","1","1","741","1","0"
"2019","1","0","1677","4","0"
"2019","1","1","1678","1","0"
"2019","1","0","478","2","0"
"2019","1","1","568","4","0"
"2019","1","0","2511","2","0"
"2019","1","1","2311","4","0"
"2019","1","0","1254","10","0"
"2019","1","1","1371","11","0"
"2019","1","0","3097","8","0"
"2019","1","1","3046","6","0"
"2019","1","0","573","16","0"
"2019","1","1","543","15","0"
"2019","1","0","1608","11","0"
"2019","1","1","1553","15","0"
"2019","1","0","0","4410","0"
"2019","1","0","393","17","0"
"2019","1","1","344","16","0"
"2019","1","0","835","13","0"
"2019","1","1","825","14","0"
"2019","1","0","1815","23","0"
"2019","1","1","1995","26","0"
"2019","1","0","704","14","0"
"2019","1","1","0","758","0"
"2019","1","0","762","8","0"
"2019","1","1","755","9","0"
"2019","1","0","550","6","0"
"2019","1","1","571","7","0"
"2019","1","0","0","1432","0"
"2019","1","1","1333","20","0"
"2019","1","0","234","3","0"
"2019","1","1","261","3","0"
"2019","1","0","2443","24","0"
"2019","1","1","2669","16","2"
"2019","1","0","3849","27","0"
"2019","1","1","4303","23","1"
"2019","1","0","2097","11","0"
"2019","1","1","2343","11","0"
"2019","1","0","1299","10","0"
"2019","1","0","1960","11","0"
"2019","1","0","2975","14","0"
"2019","1","1","3487","17","0"
"2019","1","0","2689","23","0"
"2019","1","1","3273","25","0"
"2019","1","0","4657","23","0"
"2019","1","1","5215","39","0"
"2019","1","0","3417","28","0"
"2019","1","0","5590","51","0"
"2019","1","1","6212","49","0"
"2019","1","0","2616","21","0"
"2019","1","1","2349","25","0"
"2019","1","0","6042","127","0"
"2019","1","1","6838","125","0"
"2019","1","0","10729","76","0"
"2019","1","0","4323","40","0"
"2019","1","1","5067","41","0"
"2019","1","0","384","3","0"
"2019","1","1","0","3","0"
"2019","1","0","1767","6","0"
"2019","1","0","623","5","0"
"2019","1","0","658","18","0"
"2019","1","0","1033","15","0"
"2019","1","0","455","7","0"
"2019","1","0","1719","13","0"
"2019","1","0","5420","61","0"
"2019","1","1","5704","43","0"
"2019","1","0","1847","10","0"
"2019","1","0","3295","19","0"
"2019","1","1","3586","9","0"
"2019","1","0","4395","35","0"
"2019","1","1","4600","33","0"
"2019","1","0","1056","6","0"
"2019","1","1","1074","6","0"
"2019","1","1","436","6","0"
"2019","1","0","334","0","0"
"2019","1","1","329","0","0"
"2019","1","0","652","10","0"
"2019","1","1","612","9","0"
"2019","1","0","706","2","0"
"2019","1","1","701","3","0"
"2019","1","2","849","0","0"
"2019","1","0","464","0","0"
"2019","1","1","385","0","0"
"2019","1","2","872","11","0"
"2019","1","0","443","7","0"
"2019","1","1","429","4","0"
"2019","1","2","387","10","0"
"2019","1","0","194","5","0"
"2019","1","1","193","5","0"
"2019","1","2","1476","18","0"
"2019","1","0","766","7","0"
"2019","1","1","710","11","0"
"2019","1","0","329","9","0"
"2019","1","1","256","9","0"
"2019","1","0","827","14","0"
"2019","1","1","797","14","0"
"2019","1","0","332","11","0"
"2019","1","1","262","9","0"
"2019","1","0","3956","41","1"
"2019","1","1","3883","40","2"
"2019","1","0","819","1","0"
"2019","1","1","793","2","0"
"2019","1","0","2232","1","0"
"2019","1","1","1601","1","0"
"2019","1","0","476","2","0"
"2019","1","1","525","1","0"
"2019","1","0","2694","7","0"
